This is the output file for ECLiPSe - Sudoku.

The numbers in the following tables represent [execution time in milliseconds]/[number of backtracks]. The headers for the columns represent the difficulty of the puzzle; the headers for the rows represent the [Selection method]/[Choice method] for the search.


TRADITIONAL SOLUTION

		verydifficult	expert	lambda	hard17	symme	eastermonster	tarek_052	goldennugget	coloin	extra1	extra2	extra3	extra4	fin	inkara2012	clue18	clue17	sudowiki_nb28	sudowiki_nb49	veryeasy	
first_fail/indomain_interval	[0]/0	[0]/4	[94]/773	[47]/476	[62]/377	[63]/424	[0]/5	[46]/354	[110]/750	[93]/871	[203]/1454	[109]/773	[109]/1074	[62]/378	[63]/378	[312]/2354	[94]/1021	[359]/3090	[77]/661	[0]/0	
anti_first_fail/indomain	[0]/3	[1497]/9815	[7539732]/76403119	[904213]/8504891	[21840]/161031	[3838]/29418	[3557]/28837	[6271]/44842	[29016]/224683  [19869130]/199652535	[20358177]/190450451	[7611367]/76403119	[6717075]/64190262	[90855]/699897	[91354]/699897	[510046]/4236146	[1521774]/12676296	[100948]/995640	[9563]/71469    NA/[ran for over 16 hours without result]
anti_first_fail/indomain_min    [0]/3	[1856]/9815 NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
anti_first_fail/indomain_max	NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
anti_first_fail/indomain_reverse_min	NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
anti_first_fail/indomain_reverse_max	NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
anti_first_fail/indomain_middle NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
anti_first_fail/indomain_median	NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
anti_first_fail/indomain_split	NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
anti_first_fail/indomain_reverse_split	NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
anti_first_fail/indomain_random	NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
anti_first_fail/indomain_interval	NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
smallest/indomain	[0]/1	[0]/3	[154207]/1538936	[97859]/1038495	[858]/5765	[79]/646	[405]/3414	[1060]/7937	[1326]/11040	[2064549]/24097193	[776059]/7881086	[154269]/1538936	[73555]/609284	[3228]/31280	[3198]/31280	[1076]/8756	[38908]/362256	[61900]/600625	[2638]/22216	NA/[ran for about 5 hours without result]
smallest/indomain_min   [0]/1	[0]/3	[195625]/1538936	[123288]/1038495	[1076]/5765	[109]/646	[532]/3414	[1372]/7937	[1717]/11040	[2651299]/24097193	[977283]/7881086	[196905]/1538936	[93975]/609284	[3854]/31280	[3883]/31280	[1280]/8756	[48766]/362256	[77422]/600625	[3198]/22216	NA/[ran for over 10 hours without result]
smallest/indomain_max   [0]/1	[0]/4	[626671]/4892655	[149059]/1155397	[47]/238	[437]/2612	[203]/1367	[405]/2470	[7754]/46086	[8052272]/68678859	[359]/2221	[625361]/4892655	[475741]/3388350	[873]/6636	[874]/6636	[15335]/107904	[1560]/13942	[16427]/133888	[2730]/18310	NA	
smallest/indomain_reverse_min	[0]/1	[0]/4	[607390]/4892655	[145487]/1155397	[47]/238	[436]/2612	[188]/1367	[405]/2470	[7535]/46086	[7797180]/68678859	[358]/2221	[609762]/4892655	[463400]/3388350	[858]/6636	[858]/6636	[15101]/107904	[1529]/13942	[16115]/133888	[2668]/18310	NA	
smallest/indomain_reverse_max	[0]/1	[0]/3	[191241]/1538936	[120355]/1038495	[983]/5765	[94]/646	[483]/3414	[1264]/7937	[1591]/11040	[2509728]/24097193	[949204]/7881086	[191803]/1538936	[92259]/609284	[3744]/31280	[3729]/31280	[1263]/8756	[47674]/362256	[74709]/600625	[3105]/22216	NA	
smallest/indomain_middle	[0]/1	[0]/0	[748508]/4683993	[109013]/712711	[577]/2912	[344]/1735	[78]/400	[249]/1289	[5133]/27815	[6899159]/51315600	[1066298]/7240715	[776573]/4683993	[610229]/3368204	[5695]/37876	[5662]/37876	[18128]/104666	[34788]/221834	[24554]/168812	[3027]/16775	NA	
smallest/indomain_median	[0]/2	[0]/0	[731785]/4736328	[66737]/426159	[562]/2909	[530]/2700	[31]/194	[234]/1239	[5258]/27815    NA  [96877]/706685	[723595]/4736328	[564084]/3318789	[5101]/35672	[5148]/35672	[16630]/101991	[57502]/375429	[9219]/65123	[1436]/8074	NA	
smallest/indomain_split	[0]/1	[0]/3	[217044]/1538936	[140182]/1038495	[1123]/5765	[125]/646	[562]/3414	[1451]/7937	[1825]/11040	NA	[1108543]/7881086	[227559]/1538936	[108686]/609284	[4336]/31280	[4197]/31280	[1451]/8756	[55318]/362256	[88171]/600625	[3620]/22216	NA	
smallest/indomain_reverse_split	[0]/1	[0]/4	[740989]/4892655	[177108]/1155397	[46]/238	[515]/2612	[219]/1367	[483]/2470	[8970]/46086	NA	[421]/2221	[736637]/4892655	[561947]/3388350	[1014]/6636	[1029]/6636	[17769]/107904	[1809]/13942	[19032]/133888	[3167]/18310	NA	
smallest/indomain_random	[0]/2	[0]/0	[721053]/4956070	[172521]/1274570	[1108]/5928	[358]/1990	[141]/903	[390]/2035	[7269]/40025	NA	[98546]/703214	[716872]/5001651	[383513]/2493866	[2464]/19919	[467]/3472	[7333]/50214	[12169]/84518	[87937]/659670	[5663]/37434	NA	
smallest/indomain_interval	[0]/1	[0]/3	[222567]/1538936	[141976]/1038495	[1092]/5765	[125]/646	[546]/3414	[1435]/7937	[1841]/11040	NA	[1108886]/7881086	[222973]/1538936	[106501]/609284	[4275]/31280	[4274]/31280	[1436]/8756	[55255]/362256	[86612]/600625	[3557]/22216	NA	
largest/indomain	[0]/0	[31]/281	[127640]/1138631	[4820]/41417	[562]/3758	[2402]/20688	[110]/897	[11263]/98228	[16676]/116499	[597016]/6063200	[194502]/1802600	[129231]/1138631	[146968]/1309928	[1374]/11829	[1373]/11829	[3088]/23656	[10858]/94349	[28079]/267805	[1982]/13262	NA/[ran for over 5 hours without result]
